Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
70,Exit long,2023-03-03 02:00,Flip,1551.77,0.0607,99.990503,-5.8,-5.80,0.09,0.09,-6.83,-6.83,0.71,0.00
70,Entry long,2023-03-03 00:00,Long Entry,1647.29,0.0607,99.990503,-5.8,-5.80,0.09,0.09,-6.83,-6.83,0.71,0.00
71,Exit short,2023-03-03 18:00,Flip,1571.43,0.0644,99.933988,-1.27,-1.27,0.26,0.26,-1.82,-1.82,-0.56,0.00
71,Entry short,2023-03-03 02:00,Flip to Short,1551.77,0.0644,99.933988,-1.27,-1.27,0.26,0.26,-1.82,-1.82,-0.56,0.00
72,Exit long,2023-03-03 22:00,Max Hold,1558.78,0.0636,99.942948,-0.81,-0.81,0.1,0.10,-1.62,-1.62,-1.36,0.00
72,Entry long,2023-03-03 18:00,Flip to Long,1571.43,0.0636,99.942948,-0.81,-0.81,0.1,0.10,-1.62,-1.62,-1.36,0.00
73,Exit short,2023-03-06 11:00,Flip,1566.57,0.064,99.97184,-0.29,-0.29,0.56,0.56,-0.37,-0.37,-1.65,0.00
73,Entry short,2023-03-06 03:00,Short Entry,1562.06,0.064,99.97184,-0.29,-0.29,0.56,0.56,-0.37,-0.37,-1.65,0.00
74,Exit long,2023-03-07 00:00,Flip,1565.17,0.0638,99.947166,-0.09,-0.09,1.06,1.06,-0.53,-0.53,-1.74,0.00
74,Entry long,2023-03-06 11:00,Flip to Long,1566.57,0.0638,99.947166,-0.09,-0.09,1.06,1.06,-0.53,-0.53,-1.74,0.00
75,Exit short,2023-03-07 01:00,Max Hold,1565.01,0.0638,99.857846,0.01,0.01,0.3,0.30,-0.04,-0.04,-1.73,0.00
75,Entry short,2023-03-07 00:00,Flip to Short,1565.17,0.0638,99.857846,0.01,0.01,0.3,0.30,-0.04,-0.04,-1.73,0.00
76,Exit long,2023-03-07 10:00,Flip,1565.21,0.0635,99.903915,-0.51,-0.51,0.68,0.68,-0.65,-0.65,-2.25,0.00
