Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
167,Entry short,2025-12-16 14:00,Short Entry,2909.09,0.0343,99.781787,-0.99,-0.99,0.76,0.76,-2.3,-2.30,62.59,0.06
168,Exit short,2025-12-19 08:00,SL,2950.39,0.0359,99.81636,-6.21,-6.21,0.03,0.03,-7.36,-7.37,56.38,0.06
168,Entry short,2025-12-18 20:00,Short Entry,2780.4,0.0359,99.81636,-6.21,-6.21,0.03,0.03,-7.36,-7.37,56.38,0.06
169,Exit long,2025-12-20 04:00,Max Hold,2987.98,0.0338,99.8283,1.07,1.07,2.13,2.13,-0.74,-0.74,57.45,0.06
169,Entry long,2025-12-19 11:00,Long Entry,2953.5,0.0338,99.8283,1.07,1.07,2.13,2.13,-0.74,-0.74,57.45,0.06
170,Exit long,2025-12-21 03:00,Max Hold,2964.83,0.0335,99.89566,-0.67,-0.67,0.32,0.32,-0.78,-0.78,56.78,0.06
170,Entry long,2025-12-20 10:00,Long Entry,2981.96,0.0335,99.89566,-0.67,-0.67,0.32,0.32,-0.78,-0.78,56.78,0.06
171,Exit long,2026-01-03 10:00,Max Hold,3099.52,0.0319,99.868692,-1.09,-1.09,0.53,0.53,-1.84,-1.84,55.68,0.06
171,Entry long,2026-01-02 17:00,Long Entry,3130.68,0.0319,99.868692,-1.09,-1.09,0.53,0.53,-1.84,-1.84,55.68,0.06
172,Exit long,2026-01-07 08:00,Max Hold,3253.99,0.0305,99.938435,-0.79,-0.79,0.71,0.71,-2.98,-2.98,54.89,0.05
172,Entry long,2026-01-06 15:00,Long Entry,3276.67,0.0305,99.938435,-0.79,-0.79,0.71,0.71,-2.98,-2.98,54.89,0.05
173,Exit short,2026-01-09 00:00,Max Hold,3105.44,0.0322,99.948156,-0.15,-0.15,1.61,1.61,-1.16,-1.16,54.74,0.05
173,Entry short,2026-01-08 07:00,Short Entry,3103.98,0.0322,99.948156,-0.15,-0.15,1.61,1.61,-1.16,-1.16,54.74,0.05
174,Exit long,2026-01-14 16:00,Max Hold,3344.19,0.03,99.9063,0.32,0.32,1.01,1.01,-1.56,-1.56,55.06,0.06
174,Entry long,2026-01-13 23:00,Long Entry,3330.21,0.03,99.9063,0.32,0.32,1.01,1.01,-1.56,-1.56,55.06,0.06
175,Exit short,2026-01-20 22:00,Max Hold,2992.01,0.0315,99.91107,5.57,5.57,6.06,6.06,-0.12,-0.12,60.63,0.06
175,Entry short,2026-01-20 05:00,Short Entry,3171.78,0.0315,99.91107,5.57,5.57,6.06,6.06,-0.12,-0.12,60.63,0.06
176,Exit short,2026-01-22 14:00,Max Hold,2971.33,0.0329,99.698844,1.84,1.85,2.25,2.25,-0.5,-0.50,62.47,0.06
176,Entry short,2026-01-21 21:00,Short Entry,3030.36,0.0329,99.698844,1.84,1.85,2.25,2.25,-0.5,-0.50,62.47,0.06
177,Exit short,2026-01-26 13:00,Max Hold,2901.29,0.0355,99.787305,-3.31,-3.32,0.9,0.90,-4.46,-4.46,59.16,0.06
177,Entry short,2026-01-25 20:00,Short Entry,2810.91,0.0355,99.787305,-3.31,-3.32,0.9,0.90,-4.46,-4.46,59.16,0.06
178,Exit long,2026-01-28 10:00,Max Hold,3016.24,0.0334,99.852306,0.79,0.79,1.47,1.47,-2.49,-2.49,59.95,0.06
178,Entry long,2026-01-27 17:00,Long Entry,2989.59,0.0334,99.852306,0.79,0.79,1.47,1.47,-2.49,-2.49,59.95,0.06
179,Exit short,2026-01-30 08:00,Max Hold,2738.43,0.0347,99.75556,4.63,4.64,6.94,6.95,-0.09,-0.09,64.59,0.06
179,Entry short,2026-01-29 15:00,Short Entry,2874.8,0.0347,99.75556,4.63,4.64,6.94,6.95,-0.09,-0.09,64.59,0.06
180,Exit short,2026-02-01 05:00,Max Hold,2447.04,0.0378,99.755712,7.16,7.18,16.46,16.49,-0.21,-0.21,71.75,0.07
180,Entry short,2026-01-31 12:00,Short Entry,2639.04,0.0378,99.755712,7.16,7.18,16.46,16.49,-0.21,-0.21,71.75,0.07
181,Exit short,2026-02-03 21:00,SL,2298.92,0.0471,99.808197,-8.57,-8.59,0.35,0.35,-11.11,-11.13,63.17,0.06
181,Entry short,2026-02-03 19:00,Short Entry,2119.07,0.0471,99.808197,-8.57,-8.59,0.35,0.35,-11.11,-11.13,63.17,0.06
182,Exit short,2026-02-05 07:00,Max Hold,2086.31,0.0455,99.97806,4.95,4.95,6.14,6.14,-1.34,-1.34,68.13,0.07
182,Entry short,2026-02-04 14:00,Short Entry,2197.32,0.0455,99.97806,4.95,4.95,6.14,6.14,-1.34,-1.34,68.13,0.07
183,Exit short,2026-02-06 06:00,Max Hold,1957.62,0.0484,99.84678,5,5.01,15.77,15.79,-2.2,-2.20,73.13,0.07
183,Entry short,2026-02-05 13:00,Short Entry,2062.95,0.0484,99.84678,5,5.01,15.77,15.79,-2.2,-2.20,73.13,0.07
184,Exit long,2026-02-08 06:00,Max Hold,2083.55,0.049,99.98989,2,2.00,4.09,4.08,-1.64,-1.64,75.13,0.08
184,Entry long,2026-02-07 13:00,Long Entry,2040.61,0.049,99.98989,2,2.00,4.09,4.08,-1.64,-1.64,75.13,0.08
185,Exit short,2026-02-12 02:00,Max Hold,1964.67,0.0513,99.971901,-0.92,-0.92,2.39,2.39,-3.47,-3.47,74.21,0.07
185,Entry short,2026-02-11 09:00,Short Entry,1948.77,0.0513,99.971901,-0.92,-0.92,2.39,2.39,-3.47,-3.47,74.21,0.07
186,Exit long,2026-02-15 02:00,Max Hold,2062.9,0.048,99.89136,-0.97,-0.97,1.2,1.20,-1.46,-1.46,73.24,0.07
186,Entry long,2026-02-14 09:00,Long Entry,2081.07,0.048,99.89136,-0.97,-0.97,1.2,1.20,-1.46,-1.46,73.24,0.07
