Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
209,Entry short,2025-02-05 05:00,Short Entry,2731.34,0.0366,99.967044,-0.35,-0.35,3.64,3.64,-1.52,-1.52,12.43,0.01
210,Exit short,2025-02-07 06:00,Mid Exit,2708.15,0.0369,99.787194,-0.24,-0.24,1.29,1.29,-0.86,-0.86,12.18,0.01
210,Entry short,2025-02-07 00:00,Short Entry,2704.26,0.0369,99.787194,-0.24,-0.24,1.29,1.29,-0.86,-0.86,12.18,0.01
211,Exit short,2025-02-08 11:00,Mid Exit,2639.78,0.0373,99.907677,1.34,1.35,4.34,4.35,-0.96,-0.96,13.53,0.01
211,Entry short,2025-02-08 02:00,Short Entry,2678.49,0.0373,99.907677,1.34,1.35,4.34,4.35,-0.96,-0.96,13.53,0.01
212,Exit short,2025-02-10 09:00,Mid Exit,2641.61,0.0392,99.9894,-3.66,-3.66,0.96,0.96,-4.24,-4.24,9.86,0.01
212,Entry short,2025-02-10 06:00,Short Entry,2550.75,0.0392,99.9894,-3.66,-3.66,0.96,0.96,-4.24,-4.24,9.86,0.01
213,Exit long,2025-02-18 01:00,Mid Exit,2724.42,0.0353,99.741562,-3.67,-3.68,0.77,0.77,-3.7,-3.71,6.2,0.01
213,Entry long,2025-02-17 23:00,Long Entry,2825.54,0.0353,99.741562,-3.67,-3.68,0.77,0.77,-3.7,-3.71,6.2,0.01
214,Exit short,2025-02-18 06:00,Mid Exit,2775.32,0.0366,99.965946,-1.71,-1.71,0,0.00,-1.73,-1.73,4.48,0.00
214,Entry short,2025-02-18 05:00,Short Entry,2731.31,0.0366,99.965946,-1.71,-1.71,0,0.00,-1.73,-1.73,4.48,0.00
215,Exit short,2025-02-22 10:00,Mid Exit,2682.2,0.0374,99.889416,-0.52,-0.53,2.05,2.05,-0.78,-0.78,3.96,0.00
215,Entry short,2025-02-22 02:00,Short Entry,2670.84,0.0374,99.889416,-0.52,-0.53,2.05,2.05,-0.78,-0.78,3.96,0.00
216,Exit short,2025-02-25 09:00,Max Hold,2497.79,0.0368,99.969776,7.96,7.95,9.51,9.51,-0.72,-0.72,11.92,0.01
216,Entry short,2025-02-24 12:00,Short Entry,2716.57,0.0368,99.969776,7.96,7.95,9.51,9.51,-0.72,-0.72,11.92,0.01
217,Exit short,2025-02-25 22:00,Mid Exit,2411.72,0.0422,99.880226,-2,-2.00,0.43,0.43,-3.48,-3.48,9.92,0.01
217,Entry short,2025-02-25 16:00,Short Entry,2366.83,0.0422,99.880226,-2,-2.00,0.43,0.43,-3.48,-3.48,9.92,0.01
218,Exit long,2025-02-26 12:00,Mid Exit,2489.78,0.0401,99.931205,-0.19,-0.19,1.59,1.59,-0.92,-0.92,9.73,0.01
218,Entry long,2025-02-26 05:00,Long Entry,2492.05,0.0401,99.931205,-0.19,-0.19,1.59,1.59,-0.92,-0.92,9.73,0.01
219,Exit short,2025-02-27 09:00,Mid Exit,2336.88,0.0417,99.980754,2.43,2.43,5.99,5.99,-0.43,-0.43,12.16,0.01
