Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
64,Exit long,2023-02-17 15:00,Mid Exit,1673.17,0.06,99.8946,0.49,0.50,1.11,1.11,-1.17,-1.17,2.18,0.00
64,Entry long,2023-02-17 08:00,Long Entry,1664.91,0.06,99.8946,0.49,0.50,1.11,1.11,-1.17,-1.17,2.18,0.00
65,Exit short,2023-02-18 05:00,Mid Exit,1698.69,0.0597,99.875115,-1.54,-1.54,0.19,0.19,-2.97,-2.97,0.65,0.00
65,Entry short,2023-02-17 16:00,Short Entry,1672.95,0.0597,99.875115,-1.54,-1.54,0.19,0.19,-2.97,-2.97,0.65,0.00
66,Exit long,2023-02-21 02:00,Mid Exit,1708.22,0.0593,99.89085,1.41,1.41,2.13,2.13,-0.04,-0.04,2.05,0.00
66,Entry long,2023-02-20 03:00,Long Entry,1684.5,0.0593,99.89085,1.41,1.41,2.13,2.13,-0.04,-0.04,2.05,0.00
67,Exit long,2023-02-22 07:00,Mid Exit,1643.92,0.0595,99.91716,-2.1,-2.11,0.04,0.04,-3.53,-3.53,-0.05,0.00
67,Entry long,2023-02-21 18:00,Long Entry,1679.28,0.0595,99.91716,-2.1,-2.11,0.04,0.04,-3.53,-3.53,-0.05,0.00
68,Exit long,2023-02-23 00:00,Mid Exit,1637.37,0.0608,99.96736,-0.42,-0.42,0.35,0.35,-3.22,-3.23,-0.47,0.00
68,Entry long,2023-02-22 11:00,Long Entry,1644.2,0.0608,99.96736,-0.42,-0.42,0.35,0.35,-3.22,-3.23,-0.47,0.00
69,Exit short,2023-02-23 22:00,Mid Exit,1646.24,0.0611,99.996871,-0.59,-0.59,0.55,0.55,-2.12,-2.12,-1.06,0.00
69,Entry short,2023-02-23 11:00,Short Entry,1636.61,0.0611,99.996871,-0.59,-0.59,0.55,0.55,-2.12,-2.12,-1.06,0.00
70,Exit long,2023-02-25 07:00,Mid Exit,1603.2,0.0623,99.986516,-0.11,-0.11,0.15,0.15,-0.78,-0.78,-1.17,0.00
70,Entry long,2023-02-25 01:00,Long Entry,1604.92,0.0623,99.986516,-0.11,-0.11,0.15,0.15,-0.78,-0.78,-1.17,0.00
71,Exit long,2023-02-26 02:00,Mid Exit,1602.95,0.0628,99.891564,0.77,0.77,0.83,0.83,-0.27,-0.27,-0.39,0.00
71,Entry long,2023-02-25 22:00,Long Entry,1590.63,0.0628,99.891564,0.77,0.77,0.83,0.83,-0.27,-0.27,-0.39,0.00
72,Exit short,2023-02-26 12:00,Mid Exit,1596.36,0.0625,99.969375,0.2,0.20,0.27,0.27,-0.44,-0.44,-0.2,0.00
72,Entry short,2023-02-26 08:00,Short Entry,1599.51,0.0625,99.969375,0.2,0.20,0.27,0.27,-0.44,-0.44,-0.2,0.00
73,Exit short,2023-02-27 06:00,Mid Exit,1634.93,0.0611,99.891168,-0.004,0.00,0.28,0.28,-0.21,-0.21,-0.2,0.00
73,Entry short,2023-02-27 04:00,Short Entry,1634.88,0.0611,99.891168,-0.004,0.00,0.28,0.28,-0.21,-0.21,-0.2,0.00
74,Exit short,2023-02-27 17:00,Mid Exit,1632,0.0608,99.921152,0.69,0.70,1.24,1.24,-0.15,-0.15,0.49,0.00
74,Entry short,2023-02-27 15:00,Short Entry,1643.44,0.0608,99.921152,0.69,0.70,1.24,1.24,-0.15,-0.15,0.49,0.00
75,Exit long,2023-02-28 03:00,Mid Exit,1632.04,0.0612,99.85086,0.03,0.03,0.18,0.18,-0.26,-0.27,0.52,0.00
75,Entry long,2023-02-28 01:00,Long Entry,1631.55,0.0612,99.85086,0.03,0.03,0.18,0.18,-0.26,-0.27,0.52,0.00
76,Exit short,2023-02-28 21:00,Mid Exit,1604.21,0.0614,99.924202,1.42,1.43,1.99,1.99,-0.34,-0.34,1.95,0.00
76,Entry short,2023-02-28 19:00,Short Entry,1627.43,0.0614,99.924202,1.42,1.43,1.99,1.99,-0.34,-0.34,1.95,0.00
77,Exit long,2023-03-01 04:00,Mid Exit,1658.57,0.0616,99.852984,2.31,2.32,2.42,2.43,-0.12,-0.12,4.26,0.00
77,Entry long,2023-03-01 02:00,Long Entry,1620.99,0.0616,99.852984,2.31,2.32,2.42,2.43,-0.12,-0.12,4.26,0.00
78,Exit short,2023-03-01 14:00,Mid Exit,1653.51,0.0605,99.875215,-0.16,-0.16,0.24,0.24,-1.16,-1.16,4.1,0.00
78,Entry short,2023-03-01 13:00,Short Entry,1650.83,0.0605,99.875215,-0.16,-0.16,0.24,0.24,-1.16,-1.16,4.1,0.00
79,Exit long,2023-03-01 21:00,Mid Exit,1656.41,0.0609,99.9978,0.88,0.88,1.02,1.02,-0.22,-0.22,4.97,0.00
79,Entry long,2023-03-01 20:00,Long Entry,1642,0.0609,99.9978,0.88,0.88,1.02,1.02,-0.22,-0.22,4.97,0.00
80,Exit long,2023-03-02 19:00,Mid Exit,1647.63,0.0608,99.952768,0.22,0.22,0.47,0.48,-1.59,-1.59,5.2,0.01
80,Entry long,2023-03-02 11:00,Long Entry,1643.96,0.0608,99.952768,0.22,0.22,0.47,0.48,-1.59,-1.59,5.2,0.01
81,Exit short,2023-03-03 18:00,Mid Exit,1559.29,0.0644,99.933344,-0.49,-0.49,0.31,0.31,-1.82,-1.82,4.71,0.00
81,Entry short,2023-03-03 01:00,Short Entry,1551.76,0.0644,99.933344,-0.49,-0.49,0.31,0.31,-1.82,-1.82,4.71,0.00
82,Exit short,2023-03-05 11:00,Mid Exit,1567.93,0.0638,99.895488,-0.14,-0.14,0.17,0.17,-0.46,-0.46,4.57,0.00
82,Entry short,2023-03-05 02:00,Short Entry,1565.76,0.0638,99.895488,-0.14,-0.14,0.17,0.17,-0.46,-0.46,4.57,0.00
83,Exit short,2023-03-06 20:00,Mid Exit,1560.46,0.0634,99.901916,0.97,0.97,1,1.00,-0.06,-0.06,5.54,0.01
83,Entry short,2023-03-06 16:00,Short Entry,1575.74,0.0634,99.901916,0.97,0.97,1,1.00,-0.06,-0.06,5.54,0.01
